cod_ibge;ano;nascidosvivos;popfem_15a49anos;populacao
3500000;2000;1868;;
3500105;2000;430;9159;33484
3500204;2000;56;959;3680
3500303;2000;558;7549;28145
3500402;2000;81;1840;7127
3500501;2000;261;4393;16145
3500550;2000;69;1335;5210
3500600;2000;19;498;1881
3500709;2000;591;8847;32459
3500758;2000;49;945;3647
3500808;2000;36;939;3695
3500907;2000;53;896;3527
3501004;2000;253;4094;15463
3501103;2000;46;1031;4266
3501152;2000;315;4281;15237
3501202;2000;36;1045;4322
3501301;2000;385;6115;22622
3501400;2000;48;863;4099
3501509;2000;62;715;2834
3501608;2000;2756;52874;182300
3501707;2000;519;7929;28196
3501806;2000;67;1477;5594
3501905;2000;908;16480;60305
3502002;2000;42;924;3576
3502101;2000;789;15186;55134
3502200;2000;386;5043;19276
3502309;2000;71;1130;4524
3502408;2000;68;891;3409
3502507;2000;512;9960;34888
3502606;2000;79;1275;4936
3502705;2000;637;6996;27153
3502754;2000;239;3038;11104
3502804;2000;2535;49105;169087
3502903;2000;433;5273;19758
3503000;2000;61;1299;4756
3503109;2000;118;1565;6060
3503158;2000;48;660;2615
3503208;2000;2576;52328;182240
3503307;2000;1540;29145;104024
3503356;2000;29;535;2167
3503406;2000;101;1822;7240
3503505;2000;66;894;3597
3503604;2000;231;2654;10293
3503703;2000;121;1996;7460
3503802;2000;663;9505;32965
3503901;2000;1415;17115;58933
3503950;2000;20;461;1864
3504008;2000;1311;24761;87135
3504107;2000;2121;31092;111033
3504206;2000;211;3706;13506
3504305;2000;76;1140;4597
3504404;2000;173;2287;8820
3504503;2000;1330;20784;76312
3504602;2000;193;3268;11475
3504701;2000;14;331;1312
3504800;2000;82;1982;7334
3504909;2000;176;2549;9707
3505005;2000;40;677;2796
3505104;2000;111;1493;5833
3505203;2000;475;7288;28187
3505302;2000;528;10122;35439
3505351;2000;109;1086;4846
3505401;2000;147;1827;8098
3505500;2000;1547;28911;103829
3505609;2000;521;6623;24150
3505708;2000;5915;62407;207372
3505807;2000;370;5656;20573
3505906;2000;832;13908;51041
3506003;2000;5301;90329;315493
3506102;2000;1141;20633;74743
3506201;2000;33;620;2394
3506300;2000;168;2665;10713
3506359;2000;715;8263;29771
3506409;2000;89;1680;6082
3506508;2000;1394;27577;94098
3506607;2000;495;6347;24579
3506706;2000;252;3307;12551
3506805;2000;144;2525;9419
3506904;2000;121;1768;7338
3507001;2000;626;9436;34240
3507100;2000;253;3642;13275
3507159;2000;62;770;3221
3507209;2000;13;202;795
3507308;2000;59;948;3736
3507407;2000;203;3535;13183
3507456;2000;35;488;1927
3507506;2000;1784;30206;108124
3507605;2000;2295;34866;124766
3507704;2000;52;1137;4382
3507753;2000;41;612;2306
3507803;2000;303;4572;17104
3507902;2000;314;4948;18838
3508009;2000;414;4401;17595
3508108;2000;208;3734;13843
3508207;2000;44;1000;3675
3508306;2000;85;1202;4648
3508405;2000;739;8984;32926
3508504;2000;1447;21640;76027
3508603;2000;520;7511;27164
3508702;2000;359;4494;18367
3508801;2000;290;4174;15789
3508900;2000;56;1023;4075
3509007;2000;1381;20754;70825
3509106;2000;66;1062;4183
3509205;2000;1124;14477;50568
3509254;2000;747;7343;29176
3509304;2000;121;2381;9170
3509403;2000;416;5376;20755
3509452;2000;98;1312;5195
3509502;2000;16178;286262;968160
3509601;2000;1265;18302;63520
3509700;2000;1010;12532;44178
3509809;2000;61;1022;4179
3509908;2000;257;3020;12267
3509957;2000;44;924;3605
3510005;2000;484;7857;29241
3510104;2000;27;674;2610
3510153;2000;103;896;3469
3510203;2000;1168;12238;46729
3510302;2000;281;3664;14210
3510401;2000;769;11393;41393
3510500;2000;1585;21567;78628
